site_id,alternative,expert_id,criterion_id,term
B,A2,DM9,D2,SI
B,A2,DM9,D3,EI
B,A2,DM9,D4,SI
B,A2,DM9,D5,SI
B,A2,DM9,D6,EI
B,A2,DM9,D7,SI
B,A2,DM9,D8,VSI
B,A2,DM9,D9,SI
B,A2,DM9,D10,VSI
B,A2,DM10,D1,VWI
B,A2,DM10,D2,VWI
B,A2,DM10,D3,SI
B,A2,DM10,D4,PI
B,A2,DM10,D5,SI
B,A2,DM10,D6,EI
B,A2,DM10,D7,SI
B,A2,DM10,D8,AI
B,A2,DM10,D9,EI
B,A2,DM10,D10,AI
B,A3,DM1,D1,VSI
B,A3,DM1,D2,VSI
B,A3,DM1,D3,PI
B,A3,DM1,D4,SI
B,A3,DM1,D5,PI
B,A3,DM1,D6,SI
B,A3,DM1,D7,EI
B,A3,DM1,D8,VSI
B,A3,DM1,D9,EI
B,A3,DM1,D10,PI
B,A3,DM2,D1,SI
B,A3,DM2,D2,VSI
B,A3,DM2,D3,SI
B,A3,DM2,D4,EI
B,A3,DM2,D5,EI
B,A3,DM2,D6,VSI
B,A3,DM2,D7,EI
B,A3,DM2,D8,PI
B,A3,DM2,D9,EI
B,A3,DM2,D10,EI
B,A3,DM3,D1,VSI
B,A3,DM3,D2,VSI
B,A3,DM3,D3,VSI
B,A3,DM3,D4,VWI
B,A3,DM3,D5,EI
B,A3,DM3,D6,EI
B,A3,DM3,D7,SI
B,A3,DM3,D8,VSI
B,A3,DM3,D9,SI
B,A3,DM3,D10,SI
B,A3,DM4,D1,PI
B,A3,DM4,D2,EI
B,A3,DM4,D3,EI
B,A3,DM4,D4,EI
B,A3,DM4,D5,SI
B,A3,DM4,D6,PI
B,A3,DM4,D7,SI
B,A3,DM4,D8,EI
B,A3,DM4,D9,VWI
B,A3,DM4,D10,PI
B,A3,DM5,D1,VSI
B,A3,DM5,D2,VSI
B,A3,DM5,D3,SI
B,A3,DM5,D4,EI
B,A3,DM5,D5,SI
B,A3,DM5,D6,VSI
B,A3,DM5,D7,EI
B,A3,DM5,D8,EI
B,A3,DM5,D9,SI
B,A3,DM5,D10,EI
B,A3,DM6,D1,VSI
B,A3,DM6,D2,VSI
B,A3,DM6,D3,SI
B,A3,DM6,D4,SI
B,A3,DM6,D5,EI
B,A3,DM6,D6,VSI
B,A3,DM6,D7,EI
B,A3,DM6,D8,EI
B,A3,DM6,D9,PI
B,A3,DM6,D10,EI
B,A3,DM7,D1,SI
B,A3,DM7,D2,SI
B,A3,DM7,D3,SI
B,A3,DM7,D4,SI
B,A3,DM7,D5,EI
B,A3,DM7,D6,SI
B,A3,DM7,D7,EI
B,A3,DM7,D8,SI
B,A3,DM7,D9,EI
B,A3,DM7,D10,EI
B,A3,DM8,D1,EI
B,A3,DM8,D2,SI
B,A3,DM8,D3,SI
B,A3,DM8,D4,EI
B,A3,DM8,D5,SI
B,A3,DM8,D6,PI
B,A3,DM8,D7,EI
B,A3,DM8,D8,SI
B,A3,DM8,D9,PI
B,A3,DM8,D10,EI
B,A3,DM9,D1,SI
B,A3,DM9,D2,SI
B,A3,DM9,D3,SI
B,A3,DM9,D4,PI
B,A3,DM9,D5,EI
B,A3,DM9,D6,SI
B,A3,DM9,D7,PI
B,A3,DM9,D8,EI
B,A3,DM9,D9,PI
B,A3,DM9,D10,EI
B,A3,DM10,D1,SI
B,A3,DM10,D2,SI
B,A3,DM10,D3,PI
B,A3,DM10,D4,SI
B,A3,DM10,D5,SI
B,A3,DM10,D6,VSI
B,A3,DM10,D7,EI
B,A3,DM10,D8,VSI
B,A3,DM10,D9,EI
B,A3,DM10,D10,VWI
B,A4,DM1,D1,SI
B,A4,DM1,D2,VSI
B,A4,DM1,D3,SI
B,A4,DM1,D4,SI
B,A4,DM1,D5,SI
B,A4,DM1,D6,VSI
B,A4,DM1,D7,EI
B,A4,DM1,D8,EI
B,A4,DM1,D9,EI
B,A4,DM1,D10,EI
B,A4,DM2,D1,VSI
B,A4,DM2,D2,AI
B,A4,DM2,D3,EI
B,A4,DM2,D4,AI
B,A4,DM2,D5,SI
B,A4,DM2,D6,VSI
B,A4,DM2,D7,SI
B,A4,DM2,D8,VSI
B,A4,DM2,D9,VSI
B,A4,DM2,D10,VSI
B,A4,DM3,D1,EI
B,A4,DM3,D2,SI
B,A4,DM3,D3,SI
B,A4,DM3,D4,EI
B,A4,DM3,D5,SI
B,A4,DM3,D6,EI
B,A4,DM3,D7,VSI
B,A4,DM3,D8,EI
B,A4,DM3,D9,SI
B,A4,DM3,D10,SI
B,A4,DM4,D1,VSI
B,A4,DM4,D2,SI
B,A4,DM4,D3,SI
B,A4,DM4,D4,AI
B,A4,DM4,D5,VSI
B,A4,DM4,D6,SI
B,A4,DM4,D7,SI
B,A4,DM4,D8,VWI
B,A4,DM4,D9,AI
B,A4,DM4,D10,VSI
B,A4,DM5,D1,SI
B,A4,DM5,D2,VSI
B,A4,DM5,D3,VSI
B,A4,DM5,D4,AI
B,A4,DM5,D5,SI
B,A4,DM5,D6,AI
B,A4,DM5,D7,VSI
B,A4,DM5,D8,EI
B,A4,DM5,D9,VSI
B,A4,DM5,D10,SI
B,A4,DM6,D1,EI
B,A4,DM6,D2,VSI
B,A4,DM6,D3,PI
B,A4,DM6,D4,VSI
B,A4,DM6,D5,EI
B,A4,DM6,D6,VSI
B,A4,DM6,D7,EI
B,A4,DM6,D8,SI
B,A4,DM6,D9,SI
B,A4,DM6,D10,SI
B,A4,DM7,D1,VSI
B,A4,DM7,D2,SI
B,A4,DM7,D3,SI
B,A4,DM7,D4,VSI
B,A4,DM7,D5,SI
B,A4,DM7,D6,SI
B,A4,DM7,D7,SI
B,A4,DM7,D8,EI
B,A4,DM7,D9,EI
B,A4,DM7,D10,SI
B,A4,DM8,D1,AI
B,A4,DM8,D2,VSI
B,A4,DM8,D3,VSI
B,A4,DM8,D4,AI
B,A4,DM8,D5,VSI
B,A4,DM8,D6,AI
B,A4,DM8,D7,VSI
B,A4,DM8,D8,VSI
B,A4,DM8,D9,SI
B,A4,DM8,D10,VSI
B,A4,DM9,D1,VSI
B,A4,DM9,D2,SI
B,A4,DM9,D3,SI
B,A4,DM9,D4,AI
B,A4,DM9,D5,SI
B,A4,DM9,D6,SI
B,A4,DM9,D7,SI
B,A4,DM9,D8,SI
B,A4,DM9,D9,EI
B,A4,DM9,D10,SI
B,A4,DM10,D1,EI
B,A4,DM10,D2,EI
B,A4,DM10,D3,EI
B,A4,DM10,D4,VSI
B,A4,DM10,D5,EI
B,A4,DM10,D6,SI
B,A4,DM10,D7,VSI
B,A4,DM10,D8,EI
B,A4,DM10,D9,VSI
B,A4,DM10,D10,PI
B,A5,DM1,D1,VSI
B,A5,DM1,D2,AI
B,A5,DM1,D3,VSI
B,A5,DM1,D4,VSI
B,A5,DM1,D5,SI
B,A5,DM1,D6,VSI
B,A5,DM1,D7,SI
B,A5,DM1,D8,VSI
B,A5,DM1,D9,SI
B,A5,DM1,D10,SI
B,A5,DM2,D1,VSI
B,A5,DM2,D2,VSI
B,A5,DM2,D3,SI
B,A5,DM2,D4,VSI
B,A5,DM2,D5,EI
B,A5,DM2,D6,PI
B,A5,DM2,D7,SI
B,A5,DM2,D8,EI
B,A5,DM2,D9,VSI
B,A5,DM2,D10,VSI
B,A5,DM3,D1,VSI
B,A5,DM3,D2,SI
B,A5,DM3,D3,AI
B,A5,DM3,D4,EI
B,A5,DM3,D5,VSI
B,A5,DM3,D6,EI
B,A5,DM3,D7,VSI
B,A5,DM3,D8,AI
B,A5,DM3,D9,SI
B,A5,DM3,D10,VSI
B,A5,DM4,D1,SI
B,A5,DM4,D2,EI
B,A5,DM4,D3,VSI
B,A5,DM4,D4,VSI
B,A5,DM4,D5,SI
B,A5,DM4,D6,SI
B,A5,DM4,D7,SI
B,A5,DM4,D8,PI
B,A5,DM4,D9,SI
B,A5,DM4,D10,VSI
B,A5,DM5,D1,SI
B,A5,DM5,D2,VSI
B,A5,DM5,D3,VSI
B,A5,DM5,D4,VSI
B,A5,DM5,D5,VSI
B,A5,DM5,D6,VSI
B,A5,DM5,D7,VSI
B,A5,DM5,D8,EI
B,A5,DM5,D9,SI
B,A5,DM5,D10,SI
B,A5,DM6,D1,VSI
B,A5,DM6,D2,AI
B,A5,DM6,D3,SI
B,A5,DM6,D4,SI
B,A5,DM6,D5,SI
B,A5,DM6,D6,VSI
B,A5,DM6,D7,VSI
B,A5,DM6,D8,SI
B,A5,DM6,D9,EI
B,A5,DM6,D10,EI
