site_id,layer,source_expert_id,target_expert_id,edge_value
A,collaboration,DM8,DM5,0
A,collaboration,DM8,DM6,0
A,collaboration,DM8,DM7,0
A,collaboration,DM8,DM8,0
A,collaboration,DM8,DM9,0
A,collaboration,DM8,DM10,0
A,collaboration,DM9,DM1,1
A,collaboration,DM9,DM2,0
A,collaboration,DM9,DM3,1
A,collaboration,DM9,DM4,1
A,collaboration,DM9,DM5,0
A,collaboration,DM9,DM6,0
A,collaboration,DM9,DM7,0
A,collaboration,DM9,DM8,0
A,collaboration,DM9,DM9,0
A,collaboration,DM9,DM10,0
A,collaboration,DM10,DM1,1
A,collaboration,DM10,DM2,1
A,collaboration,DM10,DM3,1
A,collaboration,DM10,DM4,0
A,collaboration,DM10,DM5,0
A,collaboration,DM10,DM6,1
A,collaboration,DM10,DM7,1
A,collaboration,DM10,DM8,0
A,collaboration,DM10,DM9,0
A,collaboration,DM10,DM10,0
A,trust,DM1,DM1,0
A,trust,DM1,DM2,1
A,trust,DM1,DM3,1
A,trust,DM1,DM4,1
A,trust,DM1,DM5,1
A,trust,DM1,DM6,0
A,trust,DM1,DM7,0
A,trust,DM1,DM8,1
A,trust,DM1,DM9,1
A,trust,DM1,DM10,0
A,trust,DM2,DM1,1
A,trust,DM2,DM2,0
A,trust,DM2,DM3,0
A,trust,DM2,DM4,0
A,trust,DM2,DM5,0
A,trust,DM2,DM6,0
A,trust,DM2,DM7,0
A,trust,DM2,DM8,1
A,trust,DM2,DM9,1
A,trust,DM2,DM10,0
A,trust,DM3,DM1,1
A,trust,DM3,DM2,0
A,trust,DM3,DM3,0
A,trust,DM3,DM4,1
A,trust,DM3,DM5,1
A,trust,DM3,DM6,0
A,trust,DM3,DM7,0
A,trust,DM3,DM8,0
A,trust,DM3,DM9,1
A,trust,DM3,DM10,0
A,trust,DM4,DM1,1
A,trust,DM4,DM2,0
A,trust,DM4,DM3,1
A,trust,DM4,DM4,0
A,trust,DM4,DM5,1
A,trust,DM4,DM6,0
A,trust,DM4,DM7,0
A,trust,DM4,DM8,0
A,trust,DM4,DM9,1
A,trust,DM4,DM10,0
A,trust,DM5,DM1,1
A,trust,DM5,DM2,0
A,trust,DM5,DM3,1
A,trust,DM5,DM4,1
A,trust,DM5,DM5,0
A,trust,DM5,DM6,0
A,trust,DM5,DM7,0
A,trust,DM5,DM8,0
A,trust,DM5,DM9,0
A,trust,DM5,DM10,0
A,trust,DM6,DM1,1
A,trust,DM6,DM2,1
A,trust,DM6,DM3,0
A,trust,DM6,DM4,0
A,trust,DM6,DM5,0
A,trust,DM6,DM6,0
A,trust,DM6,DM7,0
A,trust,DM6,DM8,1
A,trust,DM6,DM9,1
A,trust,DM6,DM10,0
A,trust,DM7,DM1,1
A,trust,DM7,DM2,0
A,trust,DM7,DM3,0
A,trust,DM7,DM4,0
A,trust,DM7,DM5,0
A,trust,DM7,DM6,0
A,trust,DM7,DM7,0
A,trust,DM7,DM8,0
A,trust,DM7,DM9,1
A,trust,DM7,DM10,0
A,trust,DM8,DM1,1
A,trust,DM8,DM2,1
A,trust,DM8,DM3,0
A,trust,DM8,DM4,0
A,trust,DM8,DM5,0
A,trust,DM8,DM6,0
A,trust,DM8,DM7,0
A,trust,DM8,DM8,0
A,trust,DM8,DM9,1
A,trust,DM8,DM10,0
A,trust,DM9,DM1,1
A,trust,DM9,DM2,1
A,trust,DM9,DM3,1
A,trust,DM9,DM4,1
A,trust,DM9,DM5,0
A,trust,DM9,DM6,0
A,trust,DM9,DM7,0
A,trust,DM9,DM8,1
A,trust,DM9,DM9,0
A,trust,DM9,DM10,0
A,trust,DM10,DM1,1
A,trust,DM10,DM2,0
A,trust,DM10,DM3,0
A,trust,DM10,DM4,0
A,trust,DM10,DM5,0
A,trust,DM10,DM6,1
A,trust,DM10,DM7,1
A,trust,DM10,DM8,0
A,trust,DM10,DM9,0
A,trust,DM10,DM10,0
A,influence,DM1,DM1,0
A,influence,DM1,DM2,0
A,influence,DM1,DM3,0
A,influence,DM1,DM4,0
A,influence,DM1,DM5,0
A,influence,DM1,DM6,0
A,influence,DM1,DM7,0
A,influence,DM1,DM8,0
A,influence,DM1,DM9,0
A,influence,DM1,DM10,0
A,influence,DM2,DM1,1
A,influence,DM2,DM2,0
A,influence,DM2,DM3,0
A,influence,DM2,DM4,0
A,influence,DM2,DM5,0
A,influence,DM2,DM6,0
A,influence,DM2,DM7,0
A,influence,DM2,DM8,1
A,influence,DM2,DM9,1
A,influence,DM2,DM10,0
A,influence,DM3,DM1,1
A,influence,DM3,DM2,0
A,influence,DM3,DM3,0
A,influence,DM3,DM4,1
A,influence,DM3,DM5,0
A,influence,DM3,DM6,0
A,influence,DM3,DM7,0
A,influence,DM3,DM8,0
A,influence,DM3,DM9,1
A,influence,DM3,DM10,0
A,influence,DM4,DM1,1
A,influence,DM4,DM2,0
A,influence,DM4,DM3,1
A,influence,DM4,DM4,0
A,influence,DM4,DM5,1
A,influence,DM4,DM6,0
A,influence,DM4,DM7,0
A,influence,DM4,DM8,0
A,influence,DM4,DM9,1
A,influence,DM4,DM10,0
A,influence,DM5,DM1,1
A,influence,DM5,DM2,0
A,influence,DM5,DM3,1
A,influence,DM5,DM4,1
A,influence,DM5,DM5,0
A,influence,DM5,DM6,0
A,influence,DM5,DM7,0
A,influence,DM5,DM8,0
A,influence,DM5,DM9,0
A,influence,DM5,DM10,0
A,influence,DM6,DM1,1
A,influence,DM6,DM2,1
A,influence,DM6,DM3,0
A,influence,DM6,DM4,0
A,influence,DM6,DM5,0
A,influence,DM6,DM6,0
A,influence,DM6,DM7,0
A,influence,DM6,DM8,1
A,influence,DM6,DM9,1
A,influence,DM6,DM10,0
A,influence,DM7,DM1,1
A,influence,DM7,DM2,0
A,influence,DM7,DM3,0
A,influence,DM7,DM4,0
A,influence,DM7,DM5,0
A,influence,DM7,DM6,0
A,influence,DM7,DM7,0
A,influence,DM7,DM8,0
A,influence,DM7,DM9,1
A,influence,DM7,DM10,0
A,influence,DM8,DM1,1
A,influence,DM8,DM2,1
A,influence,DM8,DM3,0
A,influence,DM8,DM4,0
A,influence,DM8,DM5,0
A,influence,DM8,DM6,0
A,influence,DM8,DM7,0
A,influence,DM8,DM8,0
A,influence,DM8,DM9,1
A,influence,DM8,DM10,0
A,influence,DM9,DM1,1
A,influence,DM9,DM2,1
